time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-23T23:30:38.370Z,32.7898333,-115.4536667,12.01,2.72,ml,36,62,0.01649,0.24,ci,ci37505520,2016-03-11T04:53:42.044Z,"7km WSW of Holtville, CA",earthquake,0.39,0.61,0.166,23,reviewed,ci,ci
2015-12-23T23:03:57.510Z,37.3289,-98.8223,7.67,2.5,mb_lg,,108,0.613,0.7,us,us10004969,2016-03-12T02:29:23.040Z,"22km WNW of Medicine Lodge, Kansas",earthquake,4.2,7.8,0.17,9,reviewed,us,us
2015-12-23T21:11:01.980Z,43.7794,-105.2543,0,3.2,ml,,60,0.944,0.4,us,us10004955,2016-03-12T02:29:23.040Z,Wyoming,mining explosion,3.2,2,0.057,48,reviewed,us,us
2015-12-23T20:34:38.910Z,36.5651667,-89.6113333,6.92,2.51,md,39,30,0.02296,0.07,nm,nm60021408,2019-10-10T15:11:16.160Z,"3km S of Lilbourn, Missouri",earthquake,0.18,0.4,0.103,33,reviewed,nm,nm
2015-12-23T20:01:47.920Z,44.3612,-105.4323,0,3.3,ml,,116,1.031,0.9,us,us10004b7p,2016-03-12T02:29:23.040Z,Wyoming,mining explosion,3.4,2,0.053,46,reviewed,us,us
2015-12-23T17:45:41.060Z,33.6223333,-117.904,9.94,2.96,ml,97,103,0.03243,0.26,ci,ci37505432,2016-03-12T02:29:23.040Z,"2km E of Newport Beach, CA",earthquake,0.27,0.36,0.152,156,reviewed,ci,ci
2015-12-23T08:29:20.628Z,39.43,-119.7816,8.5,2.5,ml,26,41.75,0.025,0.1356,nn,nn00523704,2018-06-30T00:09:44.642Z,"11km SSE of Reno, Nevada",earthquake,,0.6,0.2,8,reviewed,nn,nn
2015-12-23T07:35:11.200Z,36.7123,-97.5674,6.33,3,ml,,63,,0.63,us,us10004901,2016-03-12T02:29:22.040Z,"18km SE of Medford, Oklahoma",earthquake,1.4,7.6,,,reviewed,tul,tul
2015-12-23T07:05:44.416Z,39.4169,-119.7867,9.3,2.5,ml,8,104.14,0.012,0.1078,nn,nn00524671,2018-06-30T00:09:51.351Z,"12km S of Reno, Nevada",earthquake,,1.7,0.29,2,reviewed,nn,nn
2015-12-23T07:05:36.281Z,39.4362,-119.7835,9.6,3.1,ml,31,45.6,0.03,0.1449,nn,nn00523693,2018-06-30T00:09:59.423Z,"10km SSE of Reno, Nevada",earthquake,,0.6,0.19,11,reviewed,nn,nn
2015-12-23T06:59:05.423Z,39.4284,-119.7856,8.1,2.9,ml,24,42.28,0.022,0.1229,nn,nn00523705,2018-06-30T00:09:58.534Z,"11km SSE of Reno, Nevada",earthquake,,0.7,0.17,9,reviewed,nn,nn
2015-12-23T06:58:15.469Z,39.432,-119.7824,9.5,2.8,ml,23,58.13,0.026,0.1192,nn,nn00523690,2018-06-30T00:09:44.431Z,"11km SSE of Reno, Nevada",earthquake,,0.7,0.17,7,reviewed,nn,nn
2015-12-23T06:46:07.342Z,39.4309,-119.7845,9.7,4.4,ml,30,47.24,0.024,0.1587,nn,nn00523696,2018-06-30T00:09:58.051Z,"11km SSE of Reno, Nevada",earthquake,,0.6,0.23,8,reviewed,nn,nn
2015-12-23T06:45:49.315Z,39.4308,-119.7844,9.7,3,ml,29,47.24,0.024,0.1304,nn,nn00526746,2018-06-30T00:09:59.631Z,"11km SSE of Reno, Nevada",earthquake,,0.6,0.32,14,reviewed,nn,nn
2015-12-23T06:36:30.079Z,39.4282,-119.7812,9.4,3,ml,26,43.62,0.024,0.1119,nn,nn00523682,2019-07-07T22:09:51.154Z,"11km SSE of Reno, Nevada",earthquake,,0.6,0.31,11,reviewed,nn,nn
2015-12-23T06:22:36.147Z,39.4312,-119.7867,9.2,3.2,ml,28,43.79,0.024,0.1504,nn,nn00523675,2018-06-30T00:10:00.068Z,"10km SSE of Reno, Nevada",earthquake,,0.7,0.23,13,reviewed,nn,nn
2015-12-23T03:04:00.300Z,36.9488,-97.8446,3.315,3.3,ml,,36,,0.45,us,us100048yr,2016-03-12T02:29:22.040Z,"18km NNW of Medford, Oklahoma",earthquake,3.2,7.6,,,reviewed,tul,tul
2015-12-23T02:40:07.500Z,36.7598,-98.0684,5.535,2.7,ml,,69,,0.59,us,us100048yp,2016-03-12T02:29:22.040Z,"25km E of Cherokee, Oklahoma",earthquake,0.8,5.1,,,reviewed,tul,tul
2015-12-23T00:45:32.100Z,36.7599,-98.0722,6.433,3.3,ml,,48,,0.23,us,us100048y2,2016-03-12T02:29:22.040Z,"25km E of Cherokee, Oklahoma",earthquake,1.6,4.5,,,reviewed,tul,tul
2015-12-22T21:01:49.510Z,43.8408,-105.3304,0,3,ml,,64,0.975,0.56,us,us100049aq,2016-03-12T02:29:22.040Z,Wyoming,mining explosion,4.5,2,0.062,42,reviewed,us,us
2015-12-22T19:15:53.900Z,36.7577,-98.0696,6.443,3,ml,,51,,0.96,us,us100048w8,2016-03-12T02:29:22.040Z,"25km E of Cherokee, Oklahoma",earthquake,1.5,5.7,,,reviewed,tul,tul
2015-12-22T19:12:51.400Z,36.7622,-98.069,6.572,2.9,ml,,53,,1,us,us100048w6,2016-03-12T02:29:22.040Z,"25km E of Cherokee, Oklahoma",earthquake,1.7,6.6,,,reviewed,tul,tul
2015-12-22T16:39:09.500Z,35.7432,-97.3532,5.58,3.5,ml,,48,,0.57,us,us100048u7,2016-03-12T02:29:21.040Z,"15km NE of Edmond, Oklahoma",earthquake,1.9,7.2,,,reviewed,tul,tul
2015-12-22T12:46:23.600Z,36.9446,-97.8235,5.257,2.6,ml,,37,,0.44,us,us100048si,2016-03-12T02:29:21.040Z,"17km NNW of Medford, Oklahoma",earthquake,1.8,7.3,,,reviewed,tul,tul
2015-12-22T12:00:03.900Z,36.3084,-98.228,7.93,2.5,mb_lg,,36,0.278,0.7,us,us100048sd,2016-03-12T02:29:21.040Z,"22km NNE of Okeene, Oklahoma",earthquake,1.3,6.2,0.142,13,reviewed,us,us
2015-12-22T11:25:59.450Z,40.3993,-107.0103,1.33,2.8,ml,,39,0.978,0.99,us,us100048s9,2016-03-12T02:29:21.040Z,"17km WSW of Steamboat Springs, Colorado",earthquake,4.7,8,0.048,56,reviewed,us,us
2015-12-22T01:07:29.970Z,45.038,-111.8628333,4.93,3.26,ml,44,55,0.232,0.3,mb,mb80116449,2016-03-12T02:29:21.040Z,"29km SSE of Virginia City, Montana",earthquake,0.44,1.3,0.314,20,reviewed,mb,mb
2015-12-22T00:48:24.350Z,39.337,-122.9151667,5.48,2.62,md,35,71,0.3072,0.13,nc,nc72570406,2017-02-08T22:23:22.340Z,"19km N of Upper Lake, California",earthquake,0.23,0.89,0.264,40,reviewed,nc,nc
2015-12-21T23:49:05.600Z,36.7605,-98.0566,7.164,2.9,ml,,69,,0.5,us,us100048ns,2016-03-12T02:29:21.040Z,"26km E of Cherokee, Oklahoma",earthquake,1.5,4,,,reviewed,tul,tul
2015-12-21T19:52:25.320Z,36.566,-121.1595,2.13,2.5,md,66,45,0.08739,0.06,nc,nc72570351,2017-02-08T22:22:23.180Z,"21km NE of Soledad, California",earthquake,0.1,0.5,0.193,89,reviewed,nc,nc
2015-12-21T17:19:10.700Z,36.8436,-97.8758,5.703,2.5,ml,,66,,0.47,us,us10004rw7,2016-03-12T02:29:20.040Z,"13km WNW of Medford, Oklahoma",earthquake,1.7,2.8,,,reviewed,tul,tul
2015-12-21T15:25:38.700Z,36.6949,-97.9897,7.134,2.8,ml,,71,,0.5,us,us100048le,2016-03-12T02:29:20.040Z,"26km WSW of Medford, Oklahoma",earthquake,1.4,3.9,,,reviewed,tul,tul
2015-12-21T14:30:54.120Z,37.0103,-97.557,6.05,2.6,ml,,103,0.063,0.33,us,us100048l8,2016-03-12T02:29:20.040Z,"5km ESE of Caldwell, Kansas",earthquake,2.3,6.2,0.15,21,reviewed,ismp,ismp
2015-12-21T12:59:44.790Z,47.2988333,-121.7563333,20.35,2.5,ml,31,87,0.09957,0.2,uw,uw61113181,2016-07-22T20:01:32.610Z,"16km E of Black Diamond, Washington",earthquake,0.39,0.57,0.147,75,reviewed,uw,uw
2015-12-21T11:20:10.900Z,36.221,-97.3587,5.776,2.7,ml,,52,,0.49,us,us100048l1,2016-03-12T02:29:20.040Z,"9km SW of Perry, Oklahoma",earthquake,1.4,6.4,,,reviewed,tul,tul
2015-12-21T10:08:50.080Z,40.2806667,-124.3691667,19.71,2.8,mh,14,238,0.07658,0.08,nc,nc72570296,2017-02-08T22:20:35.020Z,"32km SW of Rio Dell, California",earthquake,0.67,0.27,,0,reviewed,nc,nc
2015-12-21T08:47:35.122Z,41.8745,-119.596,9.6,3.5,mw,8,76.7,0.167,0.1277,nn,nn00523449,2018-06-30T00:09:37.115Z,"71km ESE of Lakeview, Oregon",earthquake,,2.4,,,reviewed,nn,nn
2015-12-21T03:12:27.400Z,36.4661,-97.1798,7.016,2.8,ml,,55,,0.48,us,us100048j8,2016-03-12T02:29:20.040Z,"21km NNE of Perry, Oklahoma",earthquake,1.8,7.2,,,reviewed,tul,tul
2015-12-21T02:49:06.300Z,36.4886,-98.7423,7.166,2.6,ml,,118,,0.54,us,us100048iv,2016-03-12T02:29:20.040Z,"33km NW of Fairview, Oklahoma",earthquake,2,7.4,,,reviewed,tul,tul
2015-12-21T02:46:32.450Z,36.4718,-98.6933,11.45,2.5,mb_lg,,56,0.236,1.07,us,us100048is,2016-03-12T02:29:19.040Z,"29km NW of Fairview, Oklahoma",earthquake,1.8,4.1,0.255,4,reviewed,us,us
2015-12-21T02:32:57.400Z,36.4869,-98.7262,5,3,ml,,151,,0.52,us,us100048ir,2016-03-12T02:29:19.040Z,"32km NW of Fairview, Oklahoma",earthquake,2.1,2,,,reviewed,tul,tul
2015-12-21T00:53:32.630Z,36.1611,-96.981,5,2.5,mb_lg,,61,0.121,0.45,us,us100048ie,2016-03-12T02:29:19.040Z,"8km NE of Stillwater, Oklahoma",earthquake,1.1,2,0.255,4,reviewed,us,us
2015-12-20T23:22:32.470Z,33.6255,-117.9023333,9.47,3.36,ml,111,76,0.0341,0.27,ci,ci37286999,2016-03-12T02:29:19.040Z,"3km ENE of Newport Beach, CA",earthquake,0.24,0.39,0.162,205,reviewed,ci,ci
2015-12-20T16:18:58.600Z,36.5387,-97.1875,6.424,3,ml,,61,,0.52,us,us100048h6,2016-03-12T02:29:19.040Z,"18km SE of Tonkawa, Oklahoma",earthquake,1.8,7.5,,,reviewed,tul,tul
2015-12-20T12:53:55.081Z,41.8691,-119.6301,9.2,2.6,ml,5,132.26,0.149,0.1838,nn,nn00523354,2018-06-30T00:09:33.899Z,"69km ESE of Lakeview, Oregon",earthquake,,5.8,0.51,5,reviewed,nn,nn
2015-12-20T07:33:09.900Z,36.5902,-97.8104,6.878,2.5,ml,,70,,0.49,us,us100048fl,2016-03-12T02:29:18.040Z,"22km NNE of Enid, Oklahoma",earthquake,1,5.8,,,reviewed,tul,tul
2015-12-20T02:47:46.080Z,32.0826667,-115.1661667,22.86,3.19,ml,12,259,0.2325,0.22,ci,ci37286815,2016-03-12T02:29:18.040Z,"16km S of Alberto Oviedo Mota, B.C., MX",earthquake,1.26,0.92,0.186,50,reviewed,ci,ci
2015-12-19T20:12:29.900Z,36.1251,-97.0641,6.762,2.5,ml,,52,,0.63,us,us10004rwa,2016-03-12T02:29:18.040Z,"1km NNW of Stillwater, Oklahoma",earthquake,1.8,6.3,,,reviewed,tul,tul
2015-12-19T19:14:45.100Z,36.4961,-98.727,5.875,2.9,ml,,118,,0.54,us,us100048ds,2016-03-12T02:29:18.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.1,7.4,,,reviewed,tul,tul
2015-12-19T18:34:01.356Z,37.2388,-115.0503,0,3,ml,18,75.49,0.168,0.1393,nn,nn00523315,2018-06-30T00:09:29.148Z,"17km SE of Alamo, Nevada",earthquake,,0,0.3,11,reviewed,nn,nn
2015-12-19T17:45:14.210Z,37.3355,-118.7413333,15.55,3.28,ml,49,76,0.05315,0.06,nc,nc72569711,2018-06-30T00:09:31.769Z,"25km W of West Bishop, California",earthquake,0.25,0.56,0.245,26,reviewed,nc,nc
2015-12-19T17:36:49.290Z,32.0941667,-115.1536667,26.97,3.61,ml,20,255,0.2183,0.31,ci,ci37286727,2016-03-12T02:29:17.040Z,"15km S of Alberto Oviedo Mota, B.C., MX",earthquake,1.36,0.58,0.155,59,reviewed,ci,ci
2015-12-19T09:46:46.300Z,38.1735,-118.8238333,7.74,2.51,md,52,53,0.1207,0.08,nc,nc72569586,2018-06-30T00:09:28.629Z,"36km ESE of Bridgeport, California",earthquake,0.23,1.77,0.121,45,reviewed,nc,nc
2015-12-19T08:58:12.500Z,36.4622,-98.7566,4.337,2.8,ml,,114,,0.17,us,us100048bn,2016-03-12T02:29:17.040Z,"32km NW of Fairview, Oklahoma",earthquake,1.9,4.2,,,reviewed,tul,tul
2015-12-19T08:34:52.890Z,37.7748333,-121.9683333,8.47,2.99,md,131,50,0.01441,0.12,nc,nc72569541,2017-02-08T22:03:58.850Z,"1km ESE of San Ramon, California",earthquake,0.11,0.18,0.131,123,reviewed,nc,nc
2015-12-19T07:38:47.000Z,33.16,-115.6398333,2.62,2.83,ml,54,49,0.02675,0.22,ci,ci37286535,2016-03-12T05:00:09.611Z,"12km WNW of Calipatria, CA",earthquake,0.16,0.3,0.138,85,reviewed,ci,ci
2015-12-19T06:25:24.910Z,37.3321667,-118.773,20.77,2.7,ml,46,59,0.1559,0.07,nc,nc72569491,2017-02-08T22:02:21.400Z,"28km W of West Bishop, California",earthquake,0.23,0.93,0.136,8,reviewed,nc,nc
2015-12-19T06:23:42.760Z,36.4826,-98.7716,8.67,2.6,mb_lg,,131,0.212,0.55,us,us100048an,2016-03-12T02:29:17.040Z,"35km NW of Fairview, Oklahoma",earthquake,2.6,5.7,0.109,22,reviewed,us,us
2015-12-19T01:45:47.170Z,33.8371667,-117.0478333,13.88,3.05,ml,135,13,0.07263,0.2,ci,ci37286351,2018-04-02T03:25:35.011Z,"10km ENE of Nuevo, CA",earthquake,0.12,0.28,0.15,238,reviewed,ci,ci
2015-12-19T01:37:15.100Z,36.7012,-97.986,6.822,3.3,ml,,69,,0.6,us,us1000489g,2016-03-12T02:29:16.040Z,"25km WSW of Medford, Oklahoma",earthquake,3.2,7.5,,,reviewed,tul,tul
2015-12-18T22:01:29.500Z,36.8388,-98.2726,4.475,2.8,ml,,116,,0.25,us,us1000488c,2016-03-12T02:29:16.040Z,"11km NE of Cherokee, Oklahoma",earthquake,3.1,3,,,reviewed,tul,tul
