time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-12-23T21:10:47.580Z,43.9716,-105.2468,0,3.3,ml,,99,0.885,0.69,us,usc000t9ih,2015-03-06T02:59:13.040Z,Wyoming,mining explosion,4.1,2,0.07,41,reviewed,us,us
2014-12-23T20:35:28.400Z,36.8913,-97.6911,5.554,3,ml,,54,,0.79,us,usc000t9i2,2017-07-14T19:51:46.225Z,"10km NNE of Medford, Oklahoma",earthquake,1.9,7,,,reviewed,tul,tul
2014-12-23T20:32:13.900Z,36.1109,-97.077,4.869,2.8,ml,,97,,0.74,us,usc000t9if,2017-07-14T19:52:04.043Z,"1km WSW of Stillwater, Oklahoma",earthquake,1.7,7.6,,,reviewed,tul,tul
2014-12-23T19:49:07.300Z,35.811,-97.4277,6.761,2.5,ml,,100,,0.63,us,usc000t9hy,2015-03-06T02:59:12.040Z,"7km S of Guthrie, Oklahoma",earthquake,1.1,6.3,,,reviewed,tul,tul
2014-12-23T17:18:59.000Z,36.8021,-98.1315,5.83,2.8,ml,,105,,0.57,us,usc000t9gg,2015-03-06T02:59:12.040Z,"20km ENE of Cherokee, Oklahoma",earthquake,1.4,5.9,,,reviewed,tul,tul
2014-12-23T16:21:04.100Z,36.8185,-97.7049,5.602,2.6,ml,,42,,0.41,us,usc000t9g2,2015-03-06T02:59:12.040Z,"2km ENE of Medford, Oklahoma",earthquake,1.2,5.1,,,reviewed,tul,tul
2014-12-23T15:21:38.600Z,44.4606,-114.1701,8.4,2.5,mc,22,75.59999395,0.5677353,0.23,mb,mb14804778,2014-12-24T23:02:09.963Z,"6km SE of Challis, Idaho",earthquake,1.4,2.1,0.5,3,automatic,mb,mb
2014-12-23T14:42:47.800Z,44.443,-114.153,11.4,2.6,ml,,82,0.552,0.27,us,usc000t9wp,2015-03-06T02:59:12.040Z,"9km SE of Challis, Idaho",earthquake,3.4,7.8,,,reviewed,mb,mb
2014-12-23T14:33:20.800Z,44.4498,-114.1623,12.1,2.5,mc,20,75.59999395,0.5596504,0.13,mb,mb14489400,2014-12-24T23:02:00.510Z,"8km SE of Challis, Idaho",earthquake,0.9,1.1,0.5,3,automatic,mb,mb
2014-12-23T13:52:34.700Z,44.4606,-114.1566,10.7,3.8,ml,,75,0.559,1.07,us,usc000t9de,2015-03-06T02:59:12.040Z,"7km SE of Challis, Idaho",earthquake,4.6,7.9,,,reviewed,mb,mb
2014-12-23T12:34:00.800Z,44.4495,-114.1523,10.8,2.7,ml,,82,0.552,0.79,us,usc000t9wm,2015-03-06T02:59:12.040Z,"8km SE of Challis, Idaho",earthquake,2.5,6.9,,,reviewed,mb,mb
2014-12-23T12:33:36.450Z,36.9501,-104.7718,8.59,3.4,ml,,47,0.344,1.15,us,usc000t9d5,2015-03-06T02:59:12.040Z,"30km W of Raton, New Mexico",earthquake,5.3,7.5,0.06,44,reviewed,us,us
2014-12-23T11:56:26.200Z,44.42,-114.159,6.5,3.9,ml,,,,1.39,us,usc000td7c,2015-03-06T02:59:12.040Z,"11km SSE of Challis, Idaho",earthquake,4.2,4,,,reviewed,mb,mb
2014-12-23T11:55:54.000Z,44.4535,-114.152,10.4,3.7,ml,,53,0.553,1.33,us,usc000t9cz,2015-03-06T02:59:12.040Z,"8km SE of Challis, Idaho",earthquake,4.4,7,0.047,84,reviewed,mb,us
2014-12-23T11:53:33.700Z,44.4553,-114.1576,10,3.4,ml,,53,0.558,1.36,us,usc000t9cy,2015-03-06T02:59:12.040Z,"8km SE of Challis, Idaho",earthquake,3.3,6.5,,,reviewed,mb,mb
2014-12-23T07:59:01.450Z,34.0175,-117.228,15.909,3.06,ml,133,14,0.08365,0.21,ci,ci37298432,2017-08-09T20:56:49.766Z,"5km SE of Loma Linda, CA",earthquake,0.17,0.37,0.162,187,reviewed,ci,ci
2014-12-23T06:51:53.900Z,36.7573,-97.5779,5.478,2.5,ml,,63,,0.64,us,usc000t9fq,2015-03-06T02:59:12.040Z,"14km ESE of Medford, Oklahoma",earthquake,1.6,7.4,,,reviewed,tul,tul
2014-12-23T05:33:06.100Z,36.7925,-97.7633,5,2.5,ml,,59,,0.43,us,usc000t9fm,2015-03-06T02:59:11.040Z,"3km WSW of Medford, Oklahoma",earthquake,1.5,5.6,,,reviewed,tul,tul
2014-12-23T04:50:17.210Z,35.4417,-97.9273,7.817,2.9,ml,,,,0.74,us,usc000t9c1,2017-07-14T19:52:21.992Z,"5km NNE of Union City, Oklahoma",earthquake,2.3,6.9,,,reviewed,tul,tul
2014-12-23T03:09:06.300Z,36.7531,-97.5596,5,2.9,ml,,65,,0.28,us,usc000t9bb,2017-07-14T19:52:39.233Z,"16km ESE of Medford, Oklahoma",earthquake,2,7.9,,,reviewed,tul,tul
2014-12-23T02:01:16.200Z,36.4604,-97.2958,8.52,2.5,ml,,88,,0.28,us,usc000t9gi,2015-03-06T02:59:11.040Z,"18km N of Perry, Oklahoma",earthquake,1.6,7.1,,,reviewed,tul,tul
2014-12-23T01:42:00.445Z,41.8852,-119.6518,11.6,3.5,ml,5,100.67,0.127,0.1286,nn,nn00473336,2018-06-29T23:23:30.711Z,"71km ESE of Lakeview, Oregon",earthquake,,3.4,0.48,5,reviewed,nn,nn
2014-12-23T01:31:21.500Z,44.4466,-114.1375,11.8,3.3,ml,,53,0.542,0.93,us,usc000t9b1,2015-03-06T02:59:11.040Z,"9km SE of Challis, Idaho",earthquake,3.8,6.1,,,reviewed,mb,mb
2014-12-23T00:20:55.700Z,36.9409,-97.6785,5.808,2.8,ml,,64,,0.34,us,usc000t9ax,2017-07-14T19:52:56.506Z,"11km SSW of Caldwell, Kansas",earthquake,1.7,7.1,,,reviewed,tul,tul
