time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-20T15:44:37.350Z,47.7143333,-113.6855,3.57,2.98,ml,21,133,0.266,0.18,mb,mb80193889,2017-03-16T02:31:31.040Z,"34km ENE of Pablo, Montana",earthquake,0.49,2.6,0.413,8,reviewed,mb,mb
2016-12-20T14:03:07.200Z,36.1717,-96.7699,4.264,3.2,ml,,44,,0.27,us,us200082tv,2017-03-16T02:31:31.040Z,"9km NW of Yale, Oklahoma",earthquake,0.9,2.7,,,reviewed,tul,tul
2016-12-20T12:45:50.490Z,42.444,-124.4883333,19.34,2.6,ml,11,235,0.3024,0.29,uw,uw61241086,2017-03-16T02:31:31.040Z,"6km NW of Gold Beach, Oregon",earthquake,1.05,1.09,0.153,7,reviewed,uw,uw
2016-12-20T10:49:39.930Z,40.333,-124.643,23.93,2.94,md,35,252,0.273,0.11,nc,nc72741785,2017-02-11T11:41:58.654Z,"41km SW of Ferndale, California",earthquake,0.75,1.37,0.161,53,reviewed,nc,nc
2016-12-20T09:32:19.400Z,34.6053,-96.2282,4.796,3.1,ml,,90,,0.69,us,us200082r8,2017-03-16T02:31:30.040Z,"7km N of Coalgate, Oklahoma",earthquake,1.5,7.2,,,reviewed,tul,tul
2016-12-20T07:39:53.500Z,36.4437,-98.7829,6.899,2.6,ml,,67,,0.68,us,us200082qr,2017-03-16T02:31:30.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.6,5.6,,,reviewed,tul,tul
2016-12-20T05:03:26.100Z,36.4445,-98.7802,7.45,3.5,ml,,50,,0.23,us,us200082pw,2017-03-16T02:31:30.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.1,3.2,,,reviewed,tul,tul
2016-12-19T20:33:25.340Z,36.6543333,-121.271,2.9,2.99,md,56,41,0.01261,0.08,nc,nc72741570,2017-03-16T02:31:30.040Z,"19km SSE of Ridgemark, California",earthquake,0.11,0.24,0.172,108,reviewed,nc,nc
2016-12-19T12:51:56.700Z,35.6702,-97.3972,6.565,2.8,ml,,22,,0.42,us,us200082k6,2017-03-16T02:31:29.040Z,"7km ENE of Edmond, Oklahoma",earthquake,0.7,5.6,,,reviewed,tul,tul
2016-12-19T08:31:49.400Z,36.535,-98.9638,5.442,2.8,ml,,82,,0.56,us,us200082ng,2017-03-16T02:31:29.040Z,"24km ENE of Mooreland, Oklahoma",earthquake,1.8,5.4,,,reviewed,tul,tul
2016-12-19T08:29:49.300Z,36.5359,-98.9646,5.638,3.1,ml,,76,,0.48,us,us200082ik,2017-03-16T02:31:29.040Z,"24km ENE of Mooreland, Oklahoma",earthquake,3,7.6,,,reviewed,tul,tul
2016-12-19T05:00:40.800Z,36.3571,-97.0913,7.498,2.5,ml,,26,,0.26,us,us200082hk,2017-03-16T02:31:29.040Z,"19km ENE of Perry, Oklahoma",earthquake,1.1,2.2,,,reviewed,tul,tul
2016-12-18T11:38:31.200Z,36.4578,-98.7655,7.931,2.8,ml,,68,,0.58,us,us20008292,2017-03-16T02:31:27.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.6,7,,,reviewed,tul,tul
2016-12-18T07:46:29.400Z,36.305,-96.6661,3.032,3,ml,,95,,0.53,us,us2000827b,2017-03-16T02:31:27.040Z,"12km ESE of Pawnee, Oklahoma",earthquake,1.4,6.7,,,reviewed,tul,tul
2016-12-18T07:43:01.700Z,35.6716,-97.4063,7.08,2.5,ml,,31,,0.3,us,us20008278,2017-03-16T02:31:27.040Z,"6km ENE of Edmond, Oklahoma",earthquake,0.9,3.1,,,reviewed,tul,tul
2016-12-18T05:52:59.800Z,35.6707,-97.3981,6.739,3.7,ml,,23,,0.17,us,us2000825s,2017-03-16T02:31:27.040Z,"7km ENE of Edmond, Oklahoma",earthquake,1,3.4,,,reviewed,tul,tul
2016-12-18T01:03:20.000Z,36.3957,-97.3251,8.009,3.3,ml,,38,,0.39,us,us2000823h,2017-03-16T02:31:26.040Z,"12km NNW of Perry, Oklahoma",earthquake,1.5,6.7,,,reviewed,tul,tul
2016-12-18T00:45:20.810Z,37.6308333,-118.936,5,2.57,ml,42,80,0.02342,0.05,nc,nc72740595,2018-07-02T18:08:56.015Z,"3km ESE of Mammoth Lakes, California",earthquake,0.16,0.19,0.131,5,reviewed,nc,nc
2016-12-17T22:05:27.380Z,36.4344,-96.9698,2.25,2.5,mb_lg,,68,0.027,0.2,us,us20008223,2017-03-16T02:31:26.040Z,"18km NW of Pawnee, Oklahoma",earthquake,1.7,7.1,0.193,7,reviewed,us,us
