time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-05T18:41:00.107Z,51.5296,16.1693,10,4.6,mb,,29,1.96,0.75,us,us70004bcc,2019-09-26T14:30:21.040Z,"6km WNW of Rudna, Poland",earthquake,4.1,1.8,0.058,92,reviewed,us,us
2019-06-28T23:03:06.120Z,43.4363,11.1358,9.67,2.9,ml,,68,0.118,0.66,us,us7000472y,2019-09-14T16:08:17.040Z,"2km N of Colle di Val d'Elsa, Italy",earthquake,2.7,7.2,0.057,40,reviewed,us,us
2019-06-15T17:31:30.670Z,42.9071,11.8581,10.94,3,ml,,77,0.604,0.8,us,us60004166,2019-09-06T14:25:10.040Z,"4km NNW of San Casciano dei Bagni, Italy",earthquake,4.4,7.5,0.056,42,reviewed,us,us
2019-06-07T10:22:54.558Z,43.8765,10.0904,10,2.9,ml,,75,0.603,0.64,us,us70003wn8,2019-08-27T17:47:46.040Z,"11km SW of Forte dei Marmi, Italy",earthquake,1.6,1.9,0.057,40,reviewed,us,us
2019-05-31T02:09:11.254Z,44.1676,17.3858,11.52,2.6,ml,,113,2.211,0.94,us,us70003uyx,2019-08-24T21:17:38.040Z,"2km NNW of Donji Vakuf, Bosnia and Herzegovina",earthquake,6.1,8.1,0.074,24,reviewed,us,us
2019-05-26T15:25:52.034Z,43.249,18.0033,10,3.1,ml,,116,1.235,0.59,us,us60003sfx,2019-08-13T14:30:39.040Z,"8km W of Nevesinje, Bosnia and Herzegovina",earthquake,6.2,2,0.06,36,reviewed,us,us
2019-05-24T22:34:05.640Z,43.0555,47.1834,10,4.5,mb,,39,3.393,0.81,us,us60003rxg,2019-08-13T14:30:35.040Z,"9km WNW of Korkmaskala, Russia",earthquake,7,1.9,0.046,140,reviewed,us,us
2019-03-30T02:08:22.880Z,43.6877,16.3978,10,4.4,mb,,30,1.991,1.17,us,us2000k7hb,2019-06-08T20:51:24.040Z,"17km NNW of Solin, Croatia",earthquake,5.5,1.7,0.155,12,reviewed,us,us
2019-03-07T19:07:52.916Z,46.3834,17.3539,10,4.5,mb,,33,0.409,1.29,us,us1000jbzu,2019-05-24T21:21:14.040Z,"3km SSW of Bohonye, Hungary",earthquake,5.7,1.6,0.539,1,reviewed,us,us
2019-03-05T16:55:57.440Z,51.6295,16.1402,5,4.1,mb,,56,1.988,0.75,us,us1000jav9,2019-05-24T21:21:06.040Z,"3km NNW of Grebocice, Poland",earthquake,6.6,1.9,0.303,3,reviewed,us,us
2019-02-22T13:56:43.740Z,43.7603,18.5576,10,2.7,ml,,138,1.426,1.03,us,us2000jmjp,2019-05-11T17:40:50.040Z,"5km S of Koran, Bosnia and Herzegovina",earthquake,5.4,2,0.081,20,reviewed,us,us
2019-01-29T12:53:44.980Z,51.572,16.1672,10,4.9,mb,,29,1.998,1.13,us,us2000ja1i,2019-04-18T19:09:12.040Z,"3km S of Grebocice, Poland",earthquake,2.2,1.9,0.05,124,reviewed,us,us
2019-01-22T22:35:30.080Z,50.1095,18.4559,5.5,3.9,mb,,98,0.677,0.66,us,us2000j8la,2019-04-12T17:14:46.040Z,"0km W of Jejkowice, Poland",earthquake,3.9,7.2,0.362,2,reviewed,us,us
2019-01-14T23:03:56.390Z,44.4098,12.3066,10,4.3,mww,,22,1.171,0.7,us,us2000j3y5,2019-04-02T20:53:00.040Z,"8km E of Ravenna, Italy",earthquake,3.9,1.9,0.071,19,reviewed,us,us
2019-01-12T08:58:26.160Z,51.5455,16.1081,5,3.7,ml,,68,1.958,0.92,us,us2000j3ab,2019-04-02T20:52:21.040Z,"5km NNE of Polkowice, Poland",earthquake,6.4,2,0.076,23,reviewed,us,us
2019-01-09T11:36:03.340Z,45.5819,26.6422,142.41,4.1,mwr,,34,0.288,0.52,us,us2000j1vz,2019-04-02T20:51:41.040Z,"5km W of Jitia, Romania",earthquake,3.3,4.9,1,24,reviewed,us,buc
